date,LPX,AAL,CR,DAL,DLX,LUV,RHI,SNA,URI,AAP,AZO,EXPE,KBH,NFLX,PCLN,PHM,SHLD,TIF,TSN,HCA,AFL,AIZ,AMP,BLK,ETFC,GNW,HIG,LNC,MET,NTRS,PFG,PRU,UNM,AKAM,BVSN,CVG,FB,GOOGL,IAC,ORCL,VIAV,S,DYN,CBG,HST,RLGY
28 02 1990,13.29166667,,9.666666667,,29.75,0.97667824,1.447916667,21.91666667,,,,,5.75,,,1.0625,,4.59375,9.208333333,,2,,,,,,,13.25,,5.270833333,,,11.5,,,,,,,0.552469136,,,,,29.25,
1 03 1990,13.66666667,,9.944444444,,30,1.004113023,1.4375,21.91666667,,,,,5.625,,,1,,4.75,9.291666667,,2.016666667,,,,,,,13.4375,,5.260416667,,,11.46875,,,,,,,0.549382716,,,,,29.25,
2 03 1990,14.04166667,,9.944444444,,30.75,1.037034761,1.4375,22,,,,,5.625,,,1.015625,,4.859375,9.291666667,,2,,,,,,,13.46875,,5.270833333,,,11.4375,,,,,,,0.580246914,,,,,29.5,
5 03 1990,14.08333333,,9.944444444,,29.625,1.048008674,1.416666667,21.5,,,,,5.625,,,0.96875,,4.9375,9.208333333,,1.983333333,,,,,,,13.15625,,5.208333333,,,11.46875,,,,,,,0.586419753,,,,,29.625,
6 03 1990,14.29166667,,10.11111111,,30.5,1.042521717,1.427083333,21.83333333,,,,,5.875,,,1,,5.03125,9.125,,2,,,,,,,13.4375,,5.25,,,11.46875,,,,,,,0.598765432,,,,,30.125,
7 03 1990,14.41666667,,10.33333333,,29.25,1.026060848,1.427083333,22.5,,,,,6,,,0.96875,,5.09375,9.041666667,,1.983333333,,,,,,,13.15625,,5.25,,,11.53125,,,,,,,0.589506173,,,,,30.25,
8 03 1990,14.58333333,,10.16666667,,30.875,1.015086935,1.4375,22.25,,,,,6.3125,,,0.984375,,5.125,9.041666667,,1.966666667,,,,,,,13.46875,,5.291666667,,,11.53125,,,,,,,0.592592593,,,,,30.25,
9 03 1990,14.625,,10.16666667,,30.375,1.009599979,1.40625,22.16666667,,,,,6.1875,,,0.96875,,5.171875,9.208333333,,1.983333333,,,,,,,13.46875,,5.3125,,,11.46875,,,,,,,0.604938272,,,,,29.875,
12 03 1990,14.54166667,,10.33333333,,30.375,1.031547805,1.40625,22.16666667,,,,,6.125,,,0.96875,,5.140625,9.083333333,,1.983333333,,,,,,,13.5625,,5.3125,,,11.46875,,,,,,,0.62037037,,,,,29.75,
13 03 1990,14.58333333,,10.11111111,,29.875,1.048008674,1.395833333,21.91666667,,,,,6.125,,,0.984375,,5.125,8.916666667,,2,,,,,,,13.375,,5.375,,,11.40625,,,,,,,0.632716049,,,,,29.875,
14 03 1990,14.625,,10.44444444,,29.75,1.042521717,1.4375,21.66666667,,,,,6.125,,,0.96875,,5.328125,8.958333333,,2,,,,,,,13.21875,,5.354166667,,,11.5,,,,,,,0.632716049,,,,,29,
15 03 1990,14.91666667,,10.72222222,,30.25,1.037034761,1.4375,21.75,,,,,6.5625,,,0.96875,,5.484375,8.958333333,,2.033333333,,,,,,,13.5,,5.3125,,,11.46875,,,,,,,0.645061728,,,,,28,
16 03 1990,15.04166667,,11.27777778,,30.125,1.042521717,1.416666667,21.41666667,,,,,6.4375,,,1,,5.65625,8.958333333,,2,,,,,,,13.75,,5.333333333,,,11.4375,,,,,,,0.657407407,,,,,26.5,
19 03 1990,14.91666667,,11.38888889,,30,1.05349563,1.40625,21,,,,,6.375,,,1.015625,,5.578125,8.958333333,,2.016666667,,,,,,,13.5,,5.291666667,,,11.375,,,,,,,0.694444444,,,,,26.75,
